,multinomial_ranks,rpvals,rstats,tpvals,tstats
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_aurimucosum,-0.3623090697043701,0.906134632158238,0.017107247376576942,0.7926336669478997,0.26662031454261315
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_diphtheriae,1.3731957512385078,0.9055168283780447,0.017220355752221868,0.549090629162572,0.6099970146437793
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_efficiens,1.1694317372924523,0.3643626621050864,-0.13104101310948557,0.3048242223466681,1.0546243783115816
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_glutamicum,1.4230051922089295,0.10782927282975026,-0.23016598399589783,0.21602954015151596,1.2797791255698694
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_jeikeium,2.0767167495972343,0.41624242310811055,-0.11754321297000975,0.03139835020517422,2.323533518093318
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_kroppenstedtii,0.8292490529305176,0.0429040879796257,-0.28752256761676065,0.10010921835687293,1.7285350061822295
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_pseudotuberculosis,1.6873920547253327,0.07096493736663638,-0.2575518935762829,0.004087437987545891,3.2635343232939085
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_resistens,2.2152171420342164,0.040404262057723905,-0.29091203144350514,0.003711585624515137,3.3063834316821863
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_tuberculostearicum,2.0691539334541997,0.7254976031160965,-0.0509114780723836,0.2503122963421504,1.1858190431507079
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_ulcerans,1.6538402127510743,0.057180674839083234,-0.2707732015617209,0.021733524052031244,2.500150297436134
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_ureailyticum,1.0093408065325455,0.37223184628600836,-0.12892344305329362,0.1997073028612029,1.3286313951339412
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_variabile,1.9341382073647215,0.04677234439982186,-0.28258322239091477,0.10418453308435992,1.706620032310279
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Brachybacterium;Brachybacterium_faecium,1.6842632579094603,0.12790178110107348,-0.2182191679782151,0.08898102081588283,1.7925601399473832
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;Kytococcus;Kytococcus_sedentarius,1.7848100351578429,0.0035387601225601866,-0.4048865130112574,0.001365533625747695,3.7469217286287937
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Frankiaceae;Frankia,2.6451615380531983,5.743022404991309e-05,-0.5372863631873491,1.3906902388056823e-05,5.795137950140906
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Frankiaceae;Frankia;Frankia_alni,2.625606207776709,0.00044233070962073576,-0.47832987077976064,0.0002851608963959434,4.433489029618801
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Blastococcus;Blastococcus_saxobsidens,2.072911112237616,0.00016685769258560583,-0.5078288643783753,0.0006154104314381259,4.095950608158168
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus_obscurus,2.3756796406990723,0.0005998995406557667,-0.4685364036506818,0.0006937434619102013,4.043487008174194
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Modestobacter;Modestobacter_marinus,2.393665223050757,0.0003743839625127073,-0.48356899068331066,0.00029103719461121816,4.424514512694773
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Glycomycetaceae;Stackebrandtia;Stackebrandtia_nassauensis,2.304855375219031,4.9457803932289986e-05,-0.5412047096795843,4.746052249026435e-05,5.232146729429116
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;Gordonia,1.4230739610678391,0.530106283800017,0.0909056431815759,0.759770396242178,0.3102204646239044
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;Gordonia;Gordonia_bronchialis,2.2325202512032227,0.24681607960337915,-0.16685150894463113,0.0071050843007600464,3.0160168238891303
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;Gordonia;Gordonia_polyisoprenivorans,2.0214913176781364,0.25166115492432706,-0.1651759410540841,0.0015654477827497578,3.6870003221175423
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Intrasporangium;Intrasporangium_calvum,2.430796055722876,0.004604530225601346,-0.39431077543434706,0.012005650987886389,2.777165261702726
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Janibacter,1.6622205662018494,0.23749751633439842,-0.17013803433019611,0.1076512573366127,1.6885493742166529
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Jonesiaceae;Jonesia;Jonesia_denitrificans,2.3094737815148068,0.008401439298352943,-0.36880386556232014,3.0494960354487292e-05,5.433170347482044
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineococcus;Kineococcus_radiotolerans,2.48809650414054,0.0011082463012895957,-0.4478791438213587,3.667120424266357e-05,5.34911897963313
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Aureibacterium;Aureibacterium_testaceum,1.6399750994927125,0.310931372733781,-0.14622433980288424,0.11437391455398468,1.6548798222795789
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Clavibacter;Clavibacter_michiganensis,2.045498399663611,0.031972284986774256,-0.30378942849806034,0.006805122398698186,3.0354633990008906
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia;Leifsonia_xyli,2.615426092076941,0.010730024502075282,-0.35783424199778024,1.8486309760166983e-06,6.762247990015512
